ISIN code,dom_country,economic_sector,industry
CLP371861061,Chile,Utilities,Electric Utilities
CL0002266774,Chile,Utilities,Electric Utilities
CLP3880F1085,Chile,Consumer Discretionary Distribution and Retail,Broadline Retail
CL0002841873,Chile,Banks,Diversified Banks
CL0000000423,Chile,Transportation,Passenger Airlines
CA00791P1071,Canada,Energy,Oil and Gas Exploration and Production
CA0679011084,Canada,Materials,Gold
CA0089118776,Canada,Transportation,Passenger Airlines
CA0467894006,Canada,Utilities,Multi-Utilities
CA05277B2093,Canada,Consumer Discretionary Distribution and Retail,Automotive Retail
CA0084741085,Canada,Materials,Gold
CA0011811068,Canada,Capital Goods,Agricultural and Farm Machinery
CA0010921058,Canada,Financial Services,Asset Management and Custody Banks
CA0115321089,Canada,Materials,Gold
CA02215R1073,Canada,Real Estate Management and Development,Real Estate Services
CA0213611001,Canada,Utilities,Gas Utilities
CA0209361009,Canada,Materials,Diversified Metals and Mining
CA0342231077,Canada,Health Care Equipment and Services,Health Care Services
CA0194561027,Canada,Equity Real Estate Investment Trusts (REITs),Office REITs
CA0158571053,Canada,Utilities,Multi-Utilities
CA04016A1012,United States,Materials,Gold
CA00762V1094,Canada,Capital Goods,Construction and Engineering
CA00208D4084,Canada,Energy,Oil and Gas Exploration and Production
CA01626P3043,Canada,Consumer Staples Distribution and Retail,Food Retail
CA04682R1073,Canada,Energy,Oil and Gas Exploration and Production
CA78460T1057,Canada,Capital Goods,Construction and Engineering
CA00217Y1043,Canada,Capital Goods,Industrial Machinery and Supplies and Components
CA04045U1021,Canada,Consumer Discretionary Distribution and Retail,Apparel Retail
CA04315L1058,Canada,Equity Real Estate Investment Trusts (REITs),Diversified REITs
CA09228F1036,Canada,Software and Services,Systems Software
CA0977512007,Canada,Capital Goods,Aerospace and Defense
BMG162341090,Canada,Capital Goods,Industrial Conglomerates
CA05534B7604,Canada,Telecommunication Services,Integrated Telecommunication Services
CA0565331026,Canada,Capital Goods,Construction and Engineering
CA09202D2077,Canada,Commercial and Professional Services,Diversified Support Services
CA09076P1045,Canada,Capital Goods,Construction and Engineering
