ISIN code,dom_country,economic_sector,industry
CH0012142631,Switzerland,Materials,Specialty Chemicals
CH0012138530,Switzerland,Financial Services,Diversified Capital Markets
CH0126673539,Switzerland,Capital Goods,Trading Companies and Distributors
CH0011795959,Switzerland,Capital Goods,Building Products
CH0023405456,Switzerland,Consumer Discretionary Distribution and Retail,Other Specialty Retail
CH0022268228,Switzerland,Financial Services,Asset Management and Custody Banks
CH0012829898,Switzerland,"Food, Beverage and Tobacco",Packaged Foods and Meats
CH0016440353,Switzerland,Materials,Specialty Chemicals
CH0319416936,Switzerland,Transportation,Airport Services
CH0030170408,Switzerland,Capital Goods,Building Products
CH1169151003,Switzerland,Capital Goods,Industrial Machinery and Supplies and Components
CH0010645932,Switzerland,Materials,Specialty Chemicals
CH0466642201,Switzerland,Insurance,Multi-line Insurance
CH0012214059,Switzerland,Materials,Construction Materials
CH0023868554,Switzerland,Capital Goods,Construction and Engineering
CH0025238863,Switzerland,Transportation,Marine Transportation
CH0010570759,Switzerland,"Food, Beverage and Tobacco",Packaged Foods and Meats
CH0025751329,Switzerland,Technology Hardware and Equipment,"Technology Hardware, Storage and Peripherals"
CH0013841017,Switzerland,"Pharmaceuticals, Biotechnology and Life Sciences",Life Sciences Tools and Services
CH0108503795,Switzerland,Semiconductors and Semiconductor Equipment,Semiconductors
CH0256379097,Switzerland,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
CH0038863350,Switzerland,"Food, Beverage and Tobacco",Packaged Foods and Meats
CH0012005267,Switzerland,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
CH0000816824,Switzerland,Capital Goods,Industrial Machinery and Supplies and Components
CH0021783391,Switzerland,Financial Services,Multi-Sector Holdings
CH0024608827,Switzerland,Financial Services,Asset Management and Custody Banks
CH0018294154,Switzerland,Real Estate Management and Development,Real Estate Operating Companies
CH0012032048,Switzerland,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
CH0024638196,Switzerland,Capital Goods,Industrial Machinery and Supplies and Components
CH0008742519,Switzerland,Telecommunication Services,Integrated Telecommunication Services
CH0014284498,Switzerland,"Pharmaceuticals, Biotechnology and Life Sciences",Life Sciences Tools and Services
CH1256740924,Switzerland,Commercial and Professional Services,Research and Consulting Services
CH0435377954,Switzerland,Materials,Paper and Plastic Packaging Products and Materials
CH0418792922,Switzerland,Materials,Specialty Chemicals
CH0014852781,Switzerland,Insurance,Life and Health Insurance
CH0012549785,Switzerland,Health Care Equipment and Services,Health Care Equipment
CH0126881561,Switzerland,Insurance,Reinsurance
CH0005795668,Switzerland,Materials,Steel
CH1175448666,Switzerland,Health Care Equipment and Services,Health Care Equipment
CH0038388911,Switzerland,Capital Goods,Industrial Machinery and Supplies and Components
CH0496451508,Switzerland,Technology Hardware and Equipment,Technology Distributors
CH0011037469,Switzerland,Materials,Fertilizers and Agricultural Chemicals
CH0012100191,Switzerland,"Pharmaceuticals, Biotechnology and Life Sciences",Life Sciences Tools and Services
CH0012453913,Switzerland,Software and Services,Application Software
CH0244767585,Switzerland,Financial Services,Diversified Capital Markets
CH0033361673,Switzerland,Semiconductors and Semiconductor Equipment,Semiconductors
CH0012255151,Switzerland,Consumer Durables and Apparel,"Apparel, Accessories and Luxury Goods"
CH0311864901,Switzerland,Capital Goods,Industrial Machinery and Supplies and Components
CH0364749348,Switzerland,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
CH0019396990,Switzerland,Health Care Equipment and Services,Health Care Supplies
CH0011075394,Switzerland,Insurance,Multi-line Insurance
AEA000201011,United Arab Emirates,Banks,Diversified Banks
AEA006101017,United Arab Emirates,Consumer Discretionary Distribution and Retail,Automotive Retail
AED000201015,United Arab Emirates,Banks,Diversified Banks
AEE000701012,United Arab Emirates,Telecommunication Services,Integrated Telecommunication Services
AEA002401015,United Arab Emirates,Utilities,Multi-Utilities
CA03879J1003,United States,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
BMG0450A1053,Bermuda,Insurance,Property and Casualty Insurance
CH0499880968,Switzerland,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
BMG0585R1060,Bermuda,Insurance,Property and Casualty Insurance
BMG6331P1041,United States,Semiconductors and Semiconductor Equipment,Semiconductors
BMG0684D1074,Bermuda,Insurance,Life and Health Insurance
CA05156V1022,Canada,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
BMG0692U1099,Bermuda,Insurance,Property and Casualty Insurance
BMG0750C1082,United States,Materials,Specialty Chemicals
GB00BLP5YB54,United Kingdom,Utilities,Renewable Electricity
BMG2519Y1084,Peru,Banks,Diversified Banks
CA11284V1058,United States,Utilities,Renewable Electricity
CH1300646267,Switzerland,"Food, Beverage and Tobacco",Agricultural Products and Services
CA0717341071,Canada,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
BMG162521014,Bermuda,Utilities,Multi-Utilities
BMG162491077,Bermuda,Financial Services,Asset Management and Custody Banks
CH0044328745,Switzerland,Insurance,Property and Casualty Insurance
GB00BDCPN049,United Kingdom,"Food, Beverage and Tobacco",Soft Drinks and Non-alcoholic Beverages
CH0334081137,Switzerland,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
CA1366351098,Canada,Semiconductors and Semiconductor Equipment,Semiconductors
FR0013467479,France,Materials,Aluminum
CA17878Y2078,United States,Commercial and Professional Services,Diversified Support Services
GB00BFZ4N465,United Kingdom,Real Estate Management and Development,Real Estate Services
CA5753851099,United States,Capital Goods,Building Products
GB0022569080,United States,Software and Services,IT Consulting and Other Services
BMG3223R1088,Bermuda,Insurance,Reinsurance
BMG3075P1014,Bermuda,Insurance,Reinsurance
BMG3198U1027,Bermuda,Financial Services,Commercial and Residential Mortgage Finance
CY0200352116,Cyprus,Energy,Oil and Gas Storage and Transportation
GB00BDSFG982,United States,Energy,Oil and Gas Equipment and Services
BMG3922B1072,Bermuda,Commercial and Professional Services,Data Processing and Outsourced Services
BMG3728V1090,United States,Consumer Services,Casinos and Gaming
BMG9456A1009,Bermuda,Energy,Oil and Gas Storage and Transportation
BMG396372051,Bermuda,Transportation,Marine Transportation
CA1350861060,Canada,Consumer Durables and Apparel,"Apparel, Accessories and Luxury Goods"
BMG383271050,Colombia,Energy,Oil and Gas Exploration and Production
CH0114405324,Switzerland,Consumer Durables and Apparel,Consumer Electronics
GB00BYW6GV68,United Kingdom,Materials,Diversified Metals and Mining
GB00BD9G2S12,United States,Capital Goods,Industrial Machinery and Supplies and Components
BMG4388N1065,Bermuda,Consumer Durables and Apparel,Household Appliances
GB00BVG7F061,United Kingdom,Consumer Services,Casinos and Gaming
CA45245E1097,Canada,Media and Entertainment,Movies and Entertainment
BMG475671050,United Kingdom,Commercial and Professional Services,Research and Consulting Services
BMG491BT1088,United States,Financial Services,Asset Management and Custody Banks
BMG5005R1079,Bermuda,Insurance,Property and Casualty Insurance
BMG5269C1010,United States,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
BMG611881019,Bermuda,Telecommunication Services,Alternative Carriers
CA5359195008,United States,Media and Entertainment,Movies and Entertainment
BMG9001E1286,United States,Telecommunication Services,Alternative Carriers
GB00BYMT0J19,United Kingdom,Health Care Equipment and Services,Health Care Equipment
GB00BNK03D49,United Kingdom,Capital Goods,Industrial Machinery and Supplies and Components
BMG5753U1128,Bermuda,Insurance,Reinsurance
BMG657731060,Bermuda,Energy,Oil and Gas Storage and Transportation
BMG6359F1370,Bermuda,Energy,Oil and Gas Drilling
BMG667211046,United States,Consumer Services,"Hotels, Resorts and Cruise Lines"
GB00BFG3KF26,United States,Energy,Oil and Gas Drilling
GB00BWFY5505,United Kingdom,Commercial and Professional Services,Research and Consulting Services
CA67000B1040,United States,Technology Hardware and Equipment,Electronic Equipment and Instruments
BMG0772R2087,Bermuda,Banks,Diversified Banks
BSP736841136,Bahamas,Consumer Services,Specialized Consumer Services
BMG6964L2062,United Kingdom,Financial Services,Transaction and Payment Processing Services
CH0048265513,Switzerland,Energy,Oil and Gas Drilling
BMG7496G1033,Bermuda,Insurance,Reinsurance
BMG762791017,United Kingdom,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
GB00BMVP7Y09,United States,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
BMG7998G1069,Bermuda,Energy,Oil and Gas Drilling
BMG7738W1064,Bermuda,Energy,Oil and Gas Storage and Transportation
CA82509L1076,Canada,Software and Services,Internet Services and Infrastructure
BMG812761002,Bermuda,Consumer Discretionary Distribution and Retail,Other Specialty Retail
AN8068571086,United States,Energy,Oil and Gas Equipment and Services
CA83307B1013,Canada,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
BMG8192H1060,Bermuda,Insurance,Reinsurance
GB00BFMBMT84,United States,Capital Goods,Electrical Components and Equipment
CA8676EP1086,United States,"Food, Beverage and Tobacco",Packaged Foods and Meats
CH0102993182,Switzerland,Technology Hardware and Equipment,Electronic Manufacturing Services
BMG8766E1093,Bermuda,Capital Goods,Trading Companies and Distributors
GB00BJT16S69,United States,Materials,Commodity Chemicals
CA91688R1082,United States,Energy,Coal and Consumable Fuels
BMG9460G1015,Bermuda,Energy,Oil and Gas Drilling
CA91822J2020,United States,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
BMG9618E1075,United States,Insurance,Property and Casualty Insurance
CA98400H1029,United States,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology
AEDFXA0M6V00,United Arab Emirates,Transportation,Marine Ports and Services
CNE000001N05,,,
AU000000WPL2,,,
CA6330671034,,,
CA98420N1050,,,
CA98985W1023,,,
CH0329023102,,,
GB00BNQMPN80,,,
AU0000006124,,,
AU0000008IH1,,,
AU000000ABP9,,,
AU000000ANL3,,,
AU000000BFC6,,,
AU000000CAF8,,,
AU000000MGL2,,,
AU000000NVX4,,,
AU000000PDN8,,,
AU000000PGC4,,,
AU000000TLX2,,,
AU000000VIP0,,,
AU000000WAF6,,,
AU0000010696,,,
AU0000027195,,,
AU0000066789,,,
AU0000157075,,,
AU0000198582,,,
BMG4809J1062,,,
BMG6891L1054,,,
BMG9108L1081,,,
CA00288U1066,,,
CA0717051076,,,
CA12671H1055,,,
CA14916J1021,,,
CA2848492054,,,
CA4969042023,,,
CA59935V1076,,,
CA6568111067,,,
CA74880P1045,,,
CA8485101031,,,
GB0003062816,,,
GB0033732602,,,
GB00B18S7B29,,,
GB00B95L0551,,,
GB00BD3VDH82,,,
GB00BFPMV798,,,
GB00BGQVB052,,,
GB00BJTNFH41,United Kingdom,Consumer Discretionary Distribution and Retail,Computer and Electronics Retail
GB00BMXNWH07,,,
GB00BRF0TJ56,,,
GB00BXDZL105,,,
GB00BYVX2X20,,,
DE000A0JK2A8,Germany,Financial Services,Asset Management and Custody Banks
AU0000303976,Australia,Consumer Discretionary Distribution and Retail,Broadline Retail
CA1125851040,Canada,Financial Services,Asset Management and Custody Banks
CA23126M1023,United States,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals
CH1216478797,Switzerland,Materials,Specialty Chemicals
DE0005895403,Germany,Automobiles and Components,Automotive Parts and Equipment
GB00BMX86B70,United Kingdom,Household and Personal Products,Personal Care Products
CA55027C1068,Canada,Software and Services,Application Software
DK0060336014,Denmark,Materials,Specialty Chemicals
DE000A2GS401,Germany,Software and Services,Systems Software
CA87283P1099,Canada,Materials,Gold
DE000UNSE018,Germany,Utilities,Independent Power Producers and Energy Traders
CA47733C2076,,,
CA3937043097,,,
CAC009481226,,,
CA33938T1049,,,
CA98980M1095,,,
CA4576377002,,,
CA1867602031,,,
CA84841L4073,,,
GB00BDT89C08,,,
CA92707Y1088,,,
CA50202P2044,,,
CA3397642016,,,
CA25253X2077,,,
BMG427061046,,,
CA00489Y7090,,,
CA2943752097,,,
